name,description,county_number,county
Blackpool Post Office,Post office,Cork · (021) 430 7829,Cork
An Post Ballinlough,Post office,Cork · (021) 429 4220,Cork
Cobh Post Office,Post office,Cobh County Cork · (021) 481 1334,Cork
An Post Farranree,Post office,Farranree County Cork · (021) 439 3844,Cork
An Post Ballintemple,Post office,Cork · (021) 429 4591,Cork
An Post Blarney Street,Post office,Cork · (021) 430 4687,Cork
An Post Mahon,Post office,Cork · (021) 435 8255,Cork
Kearneys Post Office,Post office,Ballydesmond County Cork · (064) 775 1110,Cork
An Post South Douglas Road,Post office,Cork · (021) 436 4773,Cork
An Post Dungourney,Post office,Dungourney County Cork,Cork
An Post Ballincollig,Post office,Ballincollig County Cork · (021) 487 1111,Cork
Dunmanway Post Office,Post office,Dunmanway County Cork · (023) 884 5227,Cork
An Post,Post office,Cork · (021) 496 4232,Cork
Knocknaheeney Post Office,Post office,Cork · (021) 439 5236,Cork
An Post Mayfield Post Office,Post office,Cork · (021) 450 1006,Cork
An Post Glanmire,Post office,Glanmire County Cork · (021) 482 1085,Cork
Boherbue Post Office,Post office,Boherbue County Cork · (029) 76001,Cork
Kilbarry Post Office,Post office,Macroom County Cork · (026) 49018,Cork
An Post Ladysbridge,Post office,County Cork · (021) 466 7137,Cork
An Post Ballinhassig,Post office,Ballinhassig County Cork,Cork
Ballinspittle Post Office,Post office,Kinsale County Cork · (021) 477 8210,Cork
Post Office,Post office,Buttevant County Cork · (022) 23663,Cork
An Post Rathcormac,Post office,Rathcormac County Cork · (025) 36146,Cork
An Post McCurtain Street,Post office,Cork · (021) 450 2867,Cork
Ballydaheen PostOffice,Post office,Mallow County Cork · (022) 21158,Cork
An Post Killeagh,Post office,Killeagh County Cork · (024) 95069,Cork
An Post Upper Aghada,Post office,Midleton County Cork · (021) 466 1373,Cork
Friars Road Post Office,Post office,Cork,Cork
An Post Crookstown,Post office,Crookstown County Cork · (021) 733 6001,Cork
An Post Kildorrery,Post office,Kildorrery County Cork · (022) 25161,Cork
Midleton Post Office,Post office,Midleton County Cork · (021) 463 3621,Cork
An Post Blarney,Post office,Blarney County Cork · (021) 438 5440,Cork
An Post Doneraile,Post office,(022) 24181,Cork
Cobh Post Office,Post office,Cobh County Cork · (021) 481 3624,Cork
An Post Lislevane,Post office,County Cork,Cork
An Post Rylane,Post office,Rylane County Cork · (021) 733 9001,Cork
An Post Innishannon,Post office,Innishannon County Cork · (021) 477 5301,Cork
Mallow Post Office,Post office,Mallow County Cork · (022) 22576,Cork
An Post Drimoleague,Post office,Drimoleague County Cork · (028) 31110,Cork
Post Office,Post office,Macroom County Cork · (026) 46034,Cork
Kinsale Post Office,Post office,Kinsale County Cork · (021) 477 2246,Cork
An Post Castlemartyr,Post office,Castlemartyr County Cork · (021) 466 7111,Cork
An Post Newmarket,Post office,Newmarket County Cork · (029) 60001,Cork
An Post Main Office Oliver Plunkett Street,Post office,Cork · (021) 485 1042,Cork
An Post Millstreet,Post office,Millstreet County Cork · (029) 70001,Cork
An Post Grenagh,Post office,Cork · (021) 488 6105,Cork
An Post DSU Little Island Centre,Post office,County Cork,Cork
An Post Inchigeela,Post office,Cork · (026) 49001,Cork
An Post Enniskeane,Post office,Enniskeane County Cork · (023) 884 7176,Cork
Post Office,Post office,Bantry County Cork · (027) 67001,Cork
Kealkil Post Office (An Post),Post office,Kealkill County Cork · (027) 66001,Cork
An Post Lombardstown,Post office,Lombardstown County Cork · (022) 47161,Cork
Morgans Shop/An Post Togher,Post office,Cork · (021) 496 1891,Cork
An Post Belgooly,Post office,Belgooly County Cork · (021) 477 0845,Cork
An Post Gurranabraher,Post office,Cork · (021) 430 2930,Cork
An Post Kilcrohane,Post office,Bay View Cottages County Cork,Cork
An Post Bandon Post Office,Post office,Bandon County Cork · (023) 884 1554,Cork
An Post Delivery Office,Post office,Ballincollig County Cork · (021) 487 7601,Cork
An Post Youghal,Post office,Youghal County Cork · (024) 92161,Cork
An Post Rosscarbery,Post office,Rosscarbery County Cork,Cork
An Post Kilbrittain,Post office,Kilbrittain County Cork · (023) 884 9646,Cork
An Post Baile Mhic Íre,Post office,Ballymakeery County Cork,Cork
An Post Castletownroche,Post office,Mallow County Cork · (022) 26112,Cork
Castletownbere Post Office,Post office,Castletown-Bearhaven County Cork · (027) 70001,Cork
An Post Mitchelstown,Post office,Mitchelstown County Cork · (025) 24047,Cork
An Post Clondrohid,Post office,Macroom County Cork · (026) 41233,Cork
An Post Ballydehob,Post office,Ballydehob County Cork · (028) 37110,Cork
An Post Macroom,Post office,Macroom County Cork · (026) 41075,Cork
An Post Cloghroe,Post office,Cloghroe County Cork · (021) 438 5162,Cork
An Post Timoleague,Post office,Timoleague County Cork · (023) 884 6117,Cork
An Post Delivery Unit Little Island,Post office,Little Island County Cork,Cork
An Post Blackpool,Post office,Cork · (021) 430 7829,Cork
An Post Ré na nDoirí,Post office,Renaniree County Cork,Cork
An Post Durrus,Post office,Durrus County Cork · (027) 61001,Cork
An Post,Post office,Kinsale County Cork,Cork
An Post Schull,Post office,Schull County Cork · (028) 28110,Cork
An Post Bantry,Post office,Bantry County Cork · (027) 50050,Cork
An Post Togher,Post office,Cork · (021) 496 9480,Cork
An Post Kanturk,Post office,Kanturk County Cork · (029) 50001,Cork
An Post Goleen,Post office,Goleen County Cork,Cork
Ballinadee Postal Agency,Post office,Bandon County Cork · (021) 477 8277,Cork
An Post DSU,Post office,Bandon County Cork · (023) 884 1414,Cork
An Post Eyeries,Post office,Eyeries County Cork · (027) 74001,Cork
An Post Sorting Office/Collection point,Mailing service,Ballinrea Business Park County Cork,Cork
Maurice Healy's Newsagents / an post,Post office,Ballincollig County Cork · (021) 487 0659,Cork
Post Office,Post office,Rathmore County Kerry · (064) 776 1597,Cork
Bank Place,Post office,Castletown-Bearhaven County Cork · (027) 70001,Cork
An Post,Post office,Donegal · (074) 972 1024,Donegal
Glencar Post Office,Post office,Letterkenny County Donegal · (074) 912 9344,Donegal
An Post Carrick,Post office,Carrick County Donegal · (074) 973 9001,Donegal
An Post Raphoe (Raphoe Post Office),Post office,Raphoe County Donegal · (074) 917 3882,Donegal
An Post Breenagh,Post office,Letterkenny County Donegal · (074) 912 1249,Donegal
Clonmany Post Office,Post office,Clonmany County Donegal · (074) 937 6152,Donegal
Post Office Depot LetterKenny,Post office,Letterkenny County Donegal · (074) 912 2287,Donegal
An Post Bridge End,Post office,Bridge End County Donegal · (074) 936 8228,Donegal
An Post Ramelton,Post office,Ramelton County Donegal · (074) 915 1001,Donegal
Cloghore Post Office,Post office,Ballyshannon County Donegal · (071) 985 1311,Donegal
An Post Muff,Post office,Muff County Donegal · (074) 938 4489,Donegal
An Post Letterkenny,Post office,Letterkenny County Donegal · (074) 912 2287,Donegal
Redcastle Post Office,Post office,Lifford County Donegal · (074) 938 2176,Donegal
An Post Carndonagh Post Office,Post office,Carndonagh County Donegal · (074) 937 4101,Donegal
An Post Newtowncunningham,Post office,Newtown Cunningham County Donegal · (074) 915 6886,Donegal
An Post Malin,Post office,Malin County Donegal,Donegal
An Post Pettigo,Post office,Pettigo County Donegal · (071) 986 1511,Donegal
An Post Ballyshannon,Post office,County Donegal · (071) 985 1111,Donegal
An Post An Clochán Liath,Post office,Dungloe County Donegal · (074) 952 1067,Donegal
An Post Mountcharles,Post office,Mountcharles County Donegal · (074) 973 5001,Donegal
An Post Bundoran,Post office,Bundoran County Donegal · (071) 984 1224,Donegal
An Post Killybegs,Post office,Killybegs County Donegal · (074) 973 1060,Donegal
An Post Manorcunningham,Post office,Manorcunningham County Donegal,Donegal
An Post Kilcar,Post office,Kilcar County Donegal · (074) 973 8001,Donegal
An Post Ballybofey,Post office,Ballybofey County Donegal · (074) 913 1001,Donegal
An Post Greencastle,Post office,Lifford County Donegal · (074) 938 1001,Donegal
An Post Convoy,Post office,Convoy County Donegal · (074) 914 7112,Donegal
An Post Malin Head,Post office,County Donegal · (074) 937 0112,Donegal
An Post Glenties,Post office,Glenties County Donegal · (074) 955 1101,Donegal
An Post Portnoo,Post office,Portnoo County Donegal · (074) 954 5113,Donegal
An Post Kerrykeel,Post office,Kerrykeel County Donegal · (074) 915 0001,Donegal
An Post Rathmullan,Post office,Rathmullan County Donegal · (074) 915 8131,Donegal
An Post Castlefin,Post office,County Donegal · (074) 914 6110,Donegal
An Post Glencolumbkille,Post office,Glencolumbkille County Donegal · (074) 973 0001,Donegal
An Post Carraig Airt,Post office,Carrickart County Donegal · (074) 915 5101,Donegal
An Post Speenogue,Post office,County Donegal · (074) 936 8166,Donegal
An Post An Fál Carrach,Post office,Falcarragh County Donegal · (074) 913 5110,Donegal
An Post Milford,Post office,County Donegal · (074) 915 3259,Donegal
An Post Na Dúnaibh,Post office,Downings County Donegal · (074) 915 5294,Donegal
An Post Delivery Services Unit,Post office,Lifford County Donegal,Donegal
An Post Moville,Post office,Moville County Donegal · (074) 938 2016,Donegal
An Post Meenaneary,Post office,Carrick County Donegal · (074) 973 9009,Donegal
An Post Cionn Caslach,Post office,Kincasslagh County Donegal · (074) 954 3101,Donegal
An Post Doirí Beaga,Post office,Derrybeg County Donegal · (074) 953 1165,Donegal
An Post Ardara,Post office,Ardara County Donegal · (074) 954 1101,Donegal
An Post Anagaire,Post office,Annagry County Donegal · (074) 954 8101,Donegal
An Post Carrigans,Post office,Carrigans County Donegal · (074) 914 0110,Donegal
An Post Baile Láir,Post office,Magheradrumman County Donegal · (074) 915 9203,Donegal
An Post Arranmore Island,Post office,Leabgarrow County Donegal · (074) 952 0501,Donegal
An Post Creeslough,Post office,Creeslough County Donegal · (074) 913 8001,Donegal
An Post Brinlock,Post office,Brinlack County Donegal · (074) 953 1010,Donegal
An Post Ballintra,Post office,Ballintra County Donegal,Donegal
An Post St Johnston,Post office,St Johnston County Donegal · (074) 914 8101,Donegal
An Post Bruckless,Post office,Bruckless County Donegal · (074) 973 7009,Donegal
An Post Lifford,Post office,(074) 914 1533,Donegal
An Post Leitir Mhic An Bhaird,Post office,Lettermacaward County Donegal · (074) 954 4101,Donegal
An Post Buncrana,Post office,Buncrana County Donegal · (074) 936 1010,Donegal
Dunlewey PO,Post office,County Donegal · (074) 956 0780,Donegal
River Valley Post Office,Post office,Swords County Dublin · (01) 840 0051,Dublin
Swords Post Office,Post office,Swords Central E Main St · (01) 810 7200,Dublin
An Post Postpoint,Post office,64-66 Applewood Main St · (01) 807 4757,Dublin
An Post Swords & Malahide Delivery Service Unit,Post office,Swords Business Campus 4 Seatown Rd · (01) 897 0000,Dublin
An Post Ballymun Centre,Post office,Dublin 11 · (01) 842 4526,Dublin
Post Office,Post office,Portmarnock County Dublin,Dublin
An Post Lorcan Ave,Post office,Dublin 9 · (01) 862 0090,Dublin
Post Office,Post office,Dublin 9 · (01) 837 3587,Dublin
An Post,Post office,Dublin · (01) 847 0728,Dublin
Kilbarrack Post Office,Post office,Dublin 5 · (01) 848 0636,Dublin
An Post Finglas Post Office,Post office,Dublin · (01) 834 6962,Dublin
An Post Malahide,Post office,Malahide County Dublin · (01) 845 2278,Dublin
An Post Glasnevin Avenue,Post office,Dublin 11 · (01) 842 2887,Dublin
Edenmore Post Office,Post office,Dublin · (01) 848 2653,Dublin
Coolock Post Office,Post office,Dublin 5 · (01) 848 0803,Dublin
Santry Omni Shopping Centre Post Office,Post office,Dublin 9 · (01) 842 7075,Dublin
Artane Post Office,Post office,Dublin · (01) 831 0716,Dublin
An Post Donaghmede Post Office,Post office,Dublin · (01) 848 4314,Dublin
An Post,Post office,Dublin · (01) 838 6902,Dublin
Ballygall Road East Post Office,Post office,Dublin · (01) 834 7011,Dublin
St Mobhi Post Office,Post office,Dublin 9 · (01) 837 4172,Dublin
An Post Post Office,Post office,Dublin 5 · (01) 831 1051,Dublin
Raheny Post Office,Post office,Dublin 5 · (01) 831 1400,Dublin
Kelen,Post office,Dublin,Dublin
An Post Dorset Street,Post office,Dublin 1 · (01) 878 8067,Dublin
An Post,Post office,Dublin 7 · (01) 873 3606,Dublin
An Post Lomond Avenue - Sorting Office,Post office,County Dublin · (01) 837 9777,Dublin
Drumcondra Post Office,Post office,Dublin 9 · (01) 837 4391,Dublin
Harmonstown Post Office,Post office,Dublin,Dublin
Post Office,Post office,Dublin 12 · (01) 455 9737,Dublin
Botanic Road Post Office,Post office,Dublin 9,Dublin
An Post Drumcondra,Post office,Dublin 9 · (01) 830 5056,Dublin
Phibsborough Post Office,Post office,Dublin · (01) 830 1854,Dublin
Summerhill Post Office,Post office,Dublin 11 · (01) 855 1387,Dublin
An Post,Post office,Dublin 13 · (01) 832 3853,Dublin
Finglas South Post Office,Post office,Dublin · (01) 864 2082,Dublin
Jamestown business park post office,Post office,Dublin,Dublin
An Post Erne Street Upper,Post office,Dublin 2 · (01) 677 5508,Dublin
An Post General Post Office,Post office,Dublin 1 · (01) 705 7600,Dublin
An Post,Post office,Dublin 3 · (01) 874 0545,Dublin
Cabra Post Office,Post office,Dublin · (01) 838 9520,Dublin
An Post Harmonstown Delivery Service Unit,Post office,Dublin 5 · (01) 831 7985,Dublin
Faussagh Avenue Post Office,Post office,Dublin 7 · (01) 838 9520,Dublin
An Post Blanchardstown Village,Post office,Dublin.15 County Dublin · (01) 705 7600,Dublin
Harold's Cross Post Office,Post office,Dublin 6W County Dublin · (01) 497 2485,Dublin
An Post - Clonshaugh Delivery Office,Mailing service,Dublin · (01) 848 3944,Dublin
Post Delivery Services Unit,Post office,Dublin · (01) 717 0800,Dublin
An Post Usher's Quay,Post office,Dublin 8 · (01) 677 9201,Dublin
An Post Killester,Post office,Dublin · (01) 833 0645,Dublin
An Post,Post office,Dublin · (01) 454 7528,Dublin
St. Andrew's St. Post Office,Post office,Dublin 2 · (01) 705 8256,Dublin
Post Office,Post office,Dublin · (01) 453 5184,Dublin
Ringsend Post Office,Post office,Dublin 4 · (01) 668 9550,Dublin
An Post Earlsfort Terrace,Post office,Dublin 2 · (01) 662 3192,Dublin
An Post,Post office,Dublin · (01) 838 8979,Dublin
An Post Marino,Post office,Dublin 3 · (01) 833 9790,Dublin
An Post,Post office,Dublin 13 · (01) 861 8801,Dublin
Merrion Row Post Office,Post office,Dublin · (01) 676 5961,Dublin
An Post Sorting Office,Post office,Dublin 1 · (01) 705 7306,Dublin
An Post Upper Baggot Street,Post office,Dublin 4 · (01) 667 4665,Dublin
James's Street Post Office,Post office,Dublin 8 · (01) 677 9063,Dublin
Sundrive Post office,Post office,Dublin 6W County Dublin · (01) 492 1869,Dublin
Anpost,Post office,Dublin,Dublin
Ranelagh Post Office,Post office,Dublin · (01) 497 6084,Dublin
Creighans Post Office,Post office,Dublin · (01) 454 6866,Dublin
An Post Sutton Post Office,Post office,Sutton County Dublin · (01) 832 5465,Dublin
AnPost Capagh,Post office,Dublin,Dublin
An Post - Terenure Post Office,Post office,Dublin 6W County Dublin · (01) 490 7792,Dublin
Ashtown Post Office,Post office,Dublin 15 · (01) 838 2179,Dublin
Post Office,Post office,Dublin · (01) 820 3890,Dublin
An Post Finglas Delivery services unit,Post office,Dublin,Dublin
An Post Leonard's Corner,Post office,Dublin 8 · (01) 454 3692,Dublin
Rialto Post Office,Post office,Dublin 8 · (01) 453 2109,Dublin
Rathmines Post Office DSU,Post office,Dublin 6 · (01) 497 2317,Dublin
Post office,Post office,Dublin 6W County Dublin,Dublin
An Post Lusk,Post office,Lusk County Dublin · (01) 843 8658,Dublin
An Post - Coolmine Industrial Estate,Post office,Dublin · (01) 820 1177,Dublin
Inchicore Post Office,Post office,Dublin · (01) 453 4530,Dublin
An Post Upper Ballyfermot,Post office,Dublin 10 · (01) 626 7736,Dublin
Post Office,Post office,Dublin 15 · (01) 820 7710,Dublin
An Post Ballsbridge,Post office,Dublin · (01) 668 4979,Dublin
An Post,Post office,Dublin 6W County Dublin,Dublin
Clonsilla Post Office,Post office,Dublin 15 · (01) 821 3176,Dublin
An Post Claddagh Green,Post office,Dublin · (01) 626 5716,Dublin
An Post Dolphin's Barn,Post office,Dublin 8 · (01) 453 5184,Dublin
An Post Direct Mail Services,Mailing service,Dublin · (01) 705 8600,Dublin
Post Office,Post office,Dublin 20 · (01) 626 1251,Dublin
An Post Mulhuddart,Post office,Dublin · (01) 823 7108,Dublin
Blanchardstown Centre Post Office,Post office,Dublin · (01) 820 3900,Dublin
Correio An Post,Post office,Dublin,Dublin
Anpost,Post office,Dublin 15 · (01) 821 3176,Dublin
Walkinstown Post Office,Post office,Dublin · (01) 450 6290,Dublin
An Post Ballyfermot,Post office,Dublin 10 · (01) 626 9801,Dublin
Drummartin Post Office,Post office,Dublin · (01) 295 1421,Dublin
An Post,Post office,Dublin 15,Dublin
An Post Galtymore Road,Post office,Dublin 12 · (01) 455 7324,Dublin
North Strand Post Office,Post office,Dublin · (01) 874 0110,Dublin
Post Office,Post office,Rush County Dublin · (01) 843 7201,Dublin
An Post Delivery Service Unit,Post office,Dublin · (01) 865 2220,Dublin
Post Office,Post office,Blackrock County Dublin · (01) 289 4377,Dublin
Post Office,Post office,Dún Laoghaire County Dublin · (01) 280 2680,Dublin
Crumlin Post Office,Post office,Dublin 12 · (01) 455 8403,Dublin
An Post Drimnagh,Post office,Dublin 12 · (01) 455 7361,Dublin
Post,Post office,Dublin 12 · (01) 456 0360,Dublin
Ballyowen Post Office,Post office,Lucan County Dublin · (01) 601 1222,Dublin
An Post,Post office,Dublin · (01) 295 1533,Dublin
An Post Parcel Depot,Post office,St Agnes Rd · (01) 455 8322,Dublin
Nutgrove Post Office,Post office,Dublin · (01) 493 3413,Dublin
Rathfarnham Post Office,Post office,Dublin 14 · (01) 490 4495,Dublin
Rush Post Office,Post office,Rush County Dublin,Dublin
Dundrum Post Office,Post office,County Dublin · (01) 298 2776,Dublin
Post Office,Post office,Dublin · (01) 230 0140,Dublin
An Post - Blackrock,Post office,Dublin · (01) 283 4038,Dublin
An Post Orchardstown,Post office,Dublin · (01) 494 7256,Dublin
An Post,Post office,Dublin · (01) 288 2063,Dublin
Cappagh Shopping Centre - Cappagh Yongs Takeaway,Post office,Dublin 11,Dublin
Knocklyon Post Office,Post office,Dublin 16 · (01) 494 2594,Dublin
An Post Howth,Post office,County Dublin,Dublin
Sandyford post office,Post office,Dublin 16 · (01) 295 6302,Dublin
Post Office,Post office,Lucan County Dublin · (01) 628 2320,Dublin
Post Office,Post office,Dublin 22 · (01) 457 1283,Dublin
Killiney Post Office,Post office,Dun Laoghaire County Dublin · (01) 285 8604,Dublin
An Post Churchtown,Post office,Dublin 14 · (01) 298 6687,Dublin
Ballyboden Post Office,Post office,Dublin 16 · (01) 493 2479,Dublin
Post Office,Post office,Dublin 22 · (01) 457 4815,Dublin
Ballinteer Post Office,Post office,Dublin · (01) 298 1874,Dublin
An Post Neilstown,Post office,Dublin 22 · (01) 457 0088,Dublin
Kennedys Post Office,Post office,Dublin · (01) 295 5645,Dublin
Lornlines,Post office,Dublin,Dublin
An Post Tallaght,Post office,Dublin 24 · (01) 459 8553,Dublin
Sallynoggin Post Office,Post office,Dublin · (01) 285 4418,Dublin
ACN Europe,Post office,Dublin · (01) 687 5363,Dublin
An Post Glenview,Post office,Tallaght County Dublin · (01) 451 1986,Dublin
Belfield Post Office,Post office,Dublin 4 · (01) 260 0861,Dublin
Post Office,Post office,Dalkey County Dublin · (01) 285 0059,Dublin
An Post,Post office,Galway · (091) 534 727,Galway
