"Statistic Label","Census Year","List of Towns","Sex","UNIT","VALUE"
"Population","2022","Carragh, Co Kildare","Female","Number","491"
"Population","2022","Kilcullen, Co Kildare","Both sexes","Number","3815"
"Population","2022","Kilcullen, Co Kildare","Male","Number","1861"
"Population","2022","Kilcullen, Co Kildare","Female","Number","1954"
"Population","2022","Prosperous, Co Kildare","Both sexes","Number","2413"
"Population","2022","Prosperous, Co Kildare","Male","Number","1222"
"Population","2022","Prosperous, Co Kildare","Female","Number","1191"
"Population","2022","Athgarvan, Co Kildare","Both sexes","Number","1193"
"Population","2022","Athgarvan, Co Kildare","Male","Number","590"
"Population","2022","Athgarvan, Co Kildare","Female","Number","603"
"Population","2022","Calverstown, Co Kildare","Both sexes","Number","652"
"Population","2022","Calverstown, Co Kildare","Male","Number","326"
"Population","2022","Calverstown, Co Kildare","Female","Number","326"
"Population","2022","Newbridge, Co Kildare","Both sexes","Number","24366"
"Population","2022","Newbridge, Co Kildare","Male","Number","12055"
"Population","2022","Newbridge, Co Kildare","Female","Number","12311"
"Population","2022","Ballitore, Co Kildare","Both sexes","Number","667"
"Population","2022","Ballitore, Co Kildare","Male","Number","339"
"Population","2022","Ballitore, Co Kildare","Female","Number","328"
"Population","2022","Robertstown, Co Kildare","Both sexes","Number","771"
"Population","2022","Robertstown, Co Kildare","Male","Number","374"
"Population","2022","Robertstown, Co Kildare","Female","Number","397"
"Population","2022","Coill Dubh (Blackwood), Co Kildare","Both sexes","Number","1476"
"Population","2022","Coill Dubh (Blackwood), Co Kildare","Male","Number","722"
"Population","2022","Coill Dubh (Blackwood), Co Kildare","Female","Number","754"
"Population","2022","Narraghmore, Co Kildare","Both sexes","Number","375"
"Population","2022","Narraghmore, Co Kildare","Male","Number","192"
"Population","2022","Narraghmore, Co Kildare","Female","Number","183"
"Population","2022","Cut Bush, Co Kildare","Both sexes","Number","297"
"Population","2022","Cut Bush, Co Kildare","Male","Number","143"
"Population","2022","Cut Bush, Co Kildare","Female","Number","154"
"Population","2022","Castledermot, Co Kildare","Both sexes","Number","1685"
"Population","2022","Castledermot, Co Kildare","Male","Number","834"
"Population","2022","Castledermot, Co Kildare","Female","Number","851"
"Population","2022","Curragh Camp, Co Kildare","Both sexes","Number","1076"
"Population","2022","Curragh Camp, Co Kildare","Male","Number","523"
"Population","2022","Curragh Camp, Co Kildare","Female","Number","553"
"Population","2022","Kilmeage, Co Kildare","Both sexes","Number","1054"
"Population","2022","Kilmeage, Co Kildare","Male","Number","507"
"Population","2022","Kilmeage, Co Kildare","Female","Number","547"
"Population","2022","Milltown, Co Kildare","Both sexes","Number","372"
"Population","2022","Milltown, Co Kildare","Male","Number","196"
"Population","2022","Milltown, Co Kildare","Female","Number","176"
"Population","2022","Suncroft, Co Kildare","Both sexes","Number","491"
"Population","2022","Suncroft, Co Kildare","Male","Number","258"
"Population","2022","Suncroft, Co Kildare","Female","Number","233"
"Population","2022","Allenwood, Co Kildare","Both sexes","Number","1685"
"Population","2022","Allenwood, Co Kildare","Male","Number","811"
"Population","2022","Allenwood, Co Kildare","Female","Number","874"
"Population","2022","Johnstownbridge, Co Kildare","Both sexes","Number","677"
"Population","2022","Johnstownbridge, Co Kildare","Male","Number","339"
"Population","2022","Johnstownbridge, Co Kildare","Female","Number","338"
"Population","2022","Kilmead, Co Kildare","Both sexes","Number","372"
"Population","2022","Kilmead, Co Kildare","Male","Number","182"
"Population","2022","Kilmead, Co Kildare","Female","Number","190"
"Population","2022","Kildare, Co Kildare","Both sexes","Number","10302"
"Population","2022","Kildare, Co Kildare","Male","Number","5057"
"Population","2022","Kildare, Co Kildare","Female","Number","5245"
"Population","2022","Ballyroe, Co Kildare","Both sexes","Number","196"
"Population","2022","Ballyroe, Co Kildare","Male","Number","95"
"Population","2022","Ballyroe, Co Kildare","Female","Number","101"
"Population","2022","Derrinturn, Co Kildare","Both sexes","Number","1837"
"Population","2022","Derrinturn, Co Kildare","Male","Number","917"
"Population","2022","Derrinturn, Co Kildare","Female","Number","920"
"Population","2022","Nurney, Co Kildare","Both sexes","Number","497"
"Population","2022","Nurney, Co Kildare","Male","Number","247"
"Population","2022","Nurney, Co Kildare","Female","Number","250"
"Population","2022","Athy, Co Kildare","Both sexes","Number","11035"
"Population","2022","Athy, Co Kildare","Male","Number","5395"
"Population","2022","Athy, Co Kildare","Female","Number","5640"
"Population","2022","Rathangan, Co Kildare","Both sexes","Number","3263"
"Population","2022","Rathangan, Co Kildare","Male","Number","1579"
"Population","2022","Rathangan, Co Kildare","Female","Number","1684"
"Population","2022","Kildangan, Co Kildare","Both sexes","Number","546"
"Population","2022","Kildangan, Co Kildare","Male","Number","272"
"Population","2022","Kildangan, Co Kildare","Female","Number","274"
"Population","2022","Kilberry, Co Kildare","Both sexes","Number","361"
"Population","2022","Kilberry, Co Kildare","Male","Number","183"
"Population","2022","Kilberry, Co Kildare","Female","Number","178"
"Population","2022","Monasterevin, Co Kildare","Both sexes","Number","5307"
"Population","2022","Monasterevin, Co Kildare","Male","Number","2596"
"Population","2022","Monasterevin, Co Kildare","Female","Number","2711"
"Population","2022","Graiguenamanagh-Tinnahinch, Counties Kilkenny & Carlow","Both sexes","Number","1506"
"Population","2022","Graiguenamanagh-Tinnahinch, Counties Kilkenny & Carlow","Male","Number","735"
"Population","2022","Graiguenamanagh-Tinnahinch, Counties Kilkenny & Carlow","Female","Number","771"
"Population","2022","Goresbridge, Co Kilkenny","Both sexes","Number","317"
"Population","2022","Goresbridge, Co Kilkenny","Male","Number","147"
"Population","2022","Goresbridge, Co Kilkenny","Female","Number","170"
"Population","2022","Paulstown, Co Kilkenny","Both sexes","Number","919"
"Population","2022","Paulstown, Co Kilkenny","Male","Number","460"
"Population","2022","Paulstown, Co Kilkenny","Female","Number","459"
"Population","2022","Slieverue, Co Kilkenny","Both sexes","Number","458"
"Population","2022","Slieverue, Co Kilkenny","Male","Number","237"
"Population","2022","Slieverue, Co Kilkenny","Female","Number","221"
"Population","2022","Inistioge, Co Kilkenny","Both sexes","Number","315"
"Population","2022","Inistioge, Co Kilkenny","Male","Number","156"
"Population","2022","Inistioge, Co Kilkenny","Female","Number","159"
"Population","2022","Gowran, Co Kilkenny","Both sexes","Number","847"
"Population","2022","Gowran, Co Kilkenny","Male","Number","396"
"Population","2022","Gowran, Co Kilkenny","Female","Number","451"
"Population","2022","Thomastown, Co Kilkenny","Both sexes","Number","2305"
"Population","2022","Thomastown, Co Kilkenny","Male","Number","1118"
"Population","2022","Thomastown, Co Kilkenny","Female","Number","1187"
"Population","2022","Moneenroe, Co Kilkenny","Both sexes","Number","739"
"Population","2022","Moneenroe, Co Kilkenny","Male","Number","369"
"Population","2022","Moneenroe, Co Kilkenny","Female","Number","370"
"Population","2022","Mullinavat, Co Kilkenny","Both sexes","Number","210"
"Population","2022","Mullinavat, Co Kilkenny","Male","Number","113"
"Population","2022","Mullinavat, Co Kilkenny","Female","Number","97"
"Population","2022","Clogh, Co Kilkenny","Both sexes","Number","298"
"Population","2022","Clogh, Co Kilkenny","Male","Number","146"
"Population","2022","Clogh, Co Kilkenny","Female","Number","152"
"Population","2022","Kilmacow, Co Kilkenny","Both sexes","Number","671"
"Population","2022","Kilmacow, Co Kilkenny","Male","Number","342"
"Population","2022","Kilmacow, Co Kilkenny","Female","Number","329"
"Population","2022","Bennettsbridge, Co Kilkenny","Both sexes","Number","664"
"Population","2022","Bennettsbridge, Co Kilkenny","Male","Number","326"
"Population","2022","Bennettsbridge, Co Kilkenny","Female","Number","338"
"Population","2022","Ballyhale, Co Kilkenny","Both sexes","Number","184"
"Population","2022","Ballyhale, Co Kilkenny","Male","Number","85"
"Population","2022","Ballyhale, Co Kilkenny","Female","Number","99"
"Population","2022","Knocktopher, Co Kilkenny","Both sexes","Number","174"
"Population","2022","Knocktopher, Co Kilkenny","Male","Number","89"
"Population","2022","Knocktopher, Co Kilkenny","Female","Number","85"
"Population","2022","Castlecomer, Co Kilkenny","Both sexes","Number","1496"
"Population","2022","Castlecomer, Co Kilkenny","Male","Number","738"
"Population","2022","Castlecomer, Co Kilkenny","Female","Number","758"
"Population","2022","Stoneyford, Co Kilkenny","Both sexes","Number","185"
"Population","2022","Stoneyford, Co Kilkenny","Male","Number","91"
"Population","2022","Stoneyford, Co Kilkenny","Female","Number","94"
"Population","2022","Mooncoin, Co Kilkenny","Both sexes","Number","1184"
"Population","2022","Mooncoin, Co Kilkenny","Male","Number","594"
"Population","2022","Mooncoin, Co Kilkenny","Female","Number","590"
"Population","2022","Kilkenny, Co Kilkenny","Both sexes","Number","27184"
"Population","2022","Kilkenny, Co Kilkenny","Male","Number","13113"
"Population","2022","Kilkenny, Co Kilkenny","Female","Number","14071"
"Population","2022","Kells, Co Kilkenny","Both sexes","Number","291"
"Population","2022","Kells, Co Kilkenny","Male","Number","153"
"Population","2022","Kells, Co Kilkenny","Female","Number","138"
"Population","2022","Fiddown, Co Kilkenny","Both sexes","Number","410"
"Population","2022","Fiddown, Co Kilkenny","Male","Number","212"
"Population","2022","Fiddown, Co Kilkenny","Female","Number","198"
"Population","2022","Piltown, Co Kilkenny","Both sexes","Number","1275"
"Population","2022","Piltown, Co Kilkenny","Male","Number","651"
"Population","2022","Piltown, Co Kilkenny","Female","Number","624"
"Population","2022","Kilmoganny, Co Kilkenny","Both sexes","Number","256"
"Population","2022","Kilmoganny, Co Kilkenny","Male","Number","133"
"Population","2022","Kilmoganny, Co Kilkenny","Female","Number","123"
"Population","2022","Ballyragget, Co Kilkenny","Both sexes","Number","1116"
"Population","2022","Ballyragget, Co Kilkenny","Male","Number","546"
"Population","2022","Ballyragget, Co Kilkenny","Female","Number","570"
"Population","2022","Callan, Co Kilkenny","Both sexes","Number","2678"
"Population","2022","Callan, Co Kilkenny","Male","Number","1305"
"Population","2022","Callan, Co Kilkenny","Female","Number","1373"
"Population","2022","Freshford, Co Kilkenny","Both sexes","Number","593"
"Population","2022","Freshford, Co Kilkenny","Male","Number","307"
"Population","2022","Freshford, Co Kilkenny","Female","Number","286"
"Population","2022","Johnstown, Co Kilkenny","Both sexes","Number","450"
"Population","2022","Johnstown, Co Kilkenny","Male","Number","227"
"Population","2022","Johnstown, Co Kilkenny","Female","Number","223"
"Population","2022","Urlingford, Co Kilkenny","Both sexes","Number","1196"
"Population","2022","Urlingford, Co Kilkenny","Male","Number","595"
"Population","2022","Urlingford, Co Kilkenny","Female","Number","601"
"Population","2022","Ballylinan, Co Laois","Both sexes","Number","1167"
"Population","2022","Ballylinan, Co Laois","Male","Number","574"
"Population","2022","Ballylinan, Co Laois","Female","Number","593"
"Population","2022","Newtown, Co Laois","Both sexes","Number","269"
"Population","2022","Newtown, Co Laois","Male","Number","142"
"Population","2022","Newtown, Co Laois","Female","Number","127"
"Population","2022","Ballybrittas, Co Laois","Both sexes","Number","435"
"Population","2022","Ballybrittas, Co Laois","Male","Number","218"
"Population","2022","Ballybrittas, Co Laois","Female","Number","217"
"Population","2022","Stradbally, Co Laois","Both sexes","Number","1404"
"Population","2022","Stradbally, Co Laois","Male","Number","663"
"Population","2022","Stradbally, Co Laois","Female","Number","741"
"Population","2022","Killenard, Co Laois","Both sexes","Number","741"
"Population","2022","Killenard, Co Laois","Male","Number","343"
"Population","2022","Killenard, Co Laois","Female","Number","398"
"Population","2022","The Swan, Co Laois","Both sexes","Number","275"
"Population","2022","The Swan, Co Laois","Male","Number","143"
"Population","2022","The Swan, Co Laois","Female","Number","132"
"Population","2022","Portarlington, Counties Laois & Offaly","Both sexes","Number","9288"
"Population","2022","Portarlington, Counties Laois & Offaly","Male","Number","4619"
"Population","2022","Portarlington, Counties Laois & Offaly","Female","Number","4669"
"Population","2022","Emo, Co Laois","Both sexes","Number","283"
"Population","2022","Emo, Co Laois","Male","Number","140"
"Population","2022","Emo, Co Laois","Female","Number","143"
"Population","2022","Portlaoise, Co Laois","Both sexes","Number","23494"
"Population","2022","Portlaoise, Co Laois","Male","Number","12067"
"Population","2022","Portlaoise, Co Laois","Female","Number","11427"
"Population","2022","Ballyroan, Co Laois","Both sexes","Number","657"
"Population","2022","Ballyroan, Co Laois","Male","Number","328"
"Population","2022","Ballyroan, Co Laois","Female","Number","329"
"Population","2022","Ballinakill, Co Laois","Both sexes","Number","462"
"Population","2022","Ballinakill, Co Laois","Male","Number","249"
"Population","2022","Ballinakill, Co Laois","Female","Number","213"
"Population","2022","Mountmellick, Co Laois","Both sexes","Number","4905"
"Population","2022","Mountmellick, Co Laois","Male","Number","2341"
"Population","2022","Mountmellick, Co Laois","Female","Number","2564"
"Population","2022","Abbeyleix, Co Laois","Both sexes","Number","1897"
"Population","2022","Abbeyleix, Co Laois","Male","Number","925"
"Population","2022","Abbeyleix, Co Laois","Female","Number","972"
"Population","2022","Durrow, Co Laois","Both sexes","Number","946"
"Population","2022","Durrow, Co Laois","Male","Number","467"
"Population","2022","Durrow, Co Laois","Female","Number","479"
"Population","2022","Ballycolla, Co Laois","Both sexes","Number","133"
"Population","2022","Ballycolla, Co Laois","Male","Number","68"
"Population","2022","Ballycolla, Co Laois","Female","Number","65"
"Population","2022","Mountrath, Co Laois","Both sexes","Number","2070"
"Population","2022","Mountrath, Co Laois","Male","Number","1014"
"Population","2022","Mountrath, Co Laois","Female","Number","1056"
"Population","2022","Castletown, Co Laois","Both sexes","Number","454"
"Population","2022","Castletown, Co Laois","Male","Number","205"
"Population","2022","Castletown, Co Laois","Female","Number","249"
"Population","2022","Clonaslee, Co Laois","Both sexes","Number","608"
"Population","2022","Clonaslee, Co Laois","Male","Number","302"
"Population","2022","Clonaslee, Co Laois","Female","Number","306"
"Population","2022","Rathdowney, Co Laois","Both sexes","Number","1368"
"Population","2022","Rathdowney, Co Laois","Male","Number","684"
"Population","2022","Rathdowney, Co Laois","Female","Number","684"
"Population","2022","Borris-In-Ossory, Co Laois","Both sexes","Number","629"
"Population","2022","Borris-In-Ossory, Co Laois","Male","Number","294"
"Population","2022","Borris-In-Ossory, Co Laois","Female","Number","335"
"Population","2022","Errill, Co Laois","Both sexes","Number","192"
"Population","2022","Errill, Co Laois","Male","Number","88"
"Population","2022","Errill, Co Laois","Female","Number","104"
"Population","2022","Granard, Co Longford","Both sexes","Number","1058"
"Population","2022","Granard, Co Longford","Male","Number","546"
"Population","2022","Granard, Co Longford","Female","Number","512"
"Population","2022","Aughnacliffe, Co Longford","Both sexes","Number","157"
"Population","2022","Aughnacliffe, Co Longford","Male","Number","84"
"Population","2022","Aughnacliffe, Co Longford","Female","Number","73"
"Population","2022","Edgeworthstown, Co Longford","Both sexes","Number","2199"
"Population","2022","Edgeworthstown, Co Longford","Male","Number","1105"
"Population","2022","Edgeworthstown, Co Longford","Female","Number","1094"
"Population","2022","Legan, Co Longford","Both sexes","Number","346"
"Population","2022","Legan, Co Longford","Male","Number","183"
"Population","2022","Legan, Co Longford","Female","Number","163"
"Population","2022","Ballinalee, Co Longford","Both sexes","Number","395"
"Population","2022","Ballinalee, Co Longford","Male","Number","179"
"Population","2022","Ballinalee, Co Longford","Female","Number","216"
"Population","2022","Ballymahon, Co Longford","Both sexes","Number","1714"
"Population","2022","Ballymahon, Co Longford","Male","Number","869"
"Population","2022","Ballymahon, Co Longford","Female","Number","845"
"Population","2022","Drumlish, Co Longford","Both sexes","Number","1124"
"Population","2022","Drumlish, Co Longford","Male","Number","543"
"Population","2022","Drumlish, Co Longford","Female","Number","581"
"Population","2022","Longford, Co Longford","Both sexes","Number","10952"
"Population","2022","Longford, Co Longford","Male","Number","5345"
"Population","2022","Longford, Co Longford","Female","Number","5607"
"Population","2022","Keenagh, Co Longford","Both sexes","Number","753"
"Population","2022","Keenagh, Co Longford","Male","Number","367"
"Population","2022","Keenagh, Co Longford","Female","Number","386"
"Population","2022","Newtownforbes, Co Longford","Both sexes","Number","851"
"Population","2022","Newtownforbes, Co Longford","Male","Number","412"
"Population","2022","Newtownforbes, Co Longford","Female","Number","439"
"Population","2022","Killashee, Co Longford","Both sexes","Number","247"
"Population","2022","Killashee, Co Longford","Male","Number","123"
"Population","2022","Killashee, Co Longford","Female","Number","124"
"Population","2022","Lanesborough-Ballyleague, Counties Roscommon & Longford","Both sexes","Number","1733"
"Population","2022","Lanesborough-Ballyleague, Counties Roscommon & Longford","Male","Number","815"
"Population","2022","Lanesborough-Ballyleague, Counties Roscommon & Longford","Female","Number","918"
"Population","2022","Carlingford, Co Louth","Both sexes","Number","1528"
"Population","2022","Carlingford, Co Louth","Male","Number","707"
"Population","2022","Carlingford, Co Louth","Female","Number","821"
"Population","2022","Clogherhead, Co Louth","Both sexes","Number","2275"
"Population","2022","Clogherhead, Co Louth","Male","Number","1109"
"Population","2022","Clogherhead, Co Louth","Female","Number","1166"
"Population","2022","Baltray, Co Louth","Both sexes","Number","150"
"Population","2022","Baltray, Co Louth","Male","Number","72"
"Population","2022","Baltray, Co Louth","Female","Number","78"
"Population","2022","Termonfeckin, Co Louth","Both sexes","Number","1983"
"Population","2022","Termonfeckin, Co Louth","Male","Number","948"
